COUNTY_NAME,MUNICIPALITY,MUNICIPALITY_NAME,VOTINGDISTRICT,VOTINGDISTRIC_NAME,VALID_VOTES,VOTES,ELIGIBLE_VOTERS,ELECTION_PARTICIPATION,M,C,L,KD,S,V,MP,SD,FI,AfS,BLANK
Stockholms län,0180,Stockholm,01802306,Vantör 6 Bandhagen Ö,884,896,1125,79.64,10.18,3.39,3.51,3.39,31.9,25.11,7.35,12.67,1.24,0.45,0.78
Stockholms län,0180,Stockholm,01802307,Vantör 7 Bäckahagen,881,897,1118,80.23,13.17,6.7,4.88,3.06,27.47,21,6.13,14.42,1.7,0.68,1.23
Stockholms län,0180,Stockholm,01802308,Vantör 8 Högdalen Ö,805,812,1048,77.48,9.44,3.6,4.35,2.98,34.29,23.48,4.35,14.78,0.99,0.37,0.62
Stockholms län,0180,Stockholm,01802309,Vantör 9 Högdalen mellersta,761,766,951,80.55,10.78,2.76,2.63,2.23,32.46,27.33,4.2,14.72,1.05,0.79,0.26
Stockholms län,0180,Stockholm,01802310,Vantör 10 Högdalen V,938,945,1146,82.46,18.12,5.76,4.58,2.88,31.02,17.59,6.5,11.3,1.07,0.43,0.74
Stockholms län,0180,Stockholm,01802311,Vantör 11 Skebokvarnsvägen Ö mfl,978,986,1353,72.88,11.25,3.89,2.66,2.66,33.13,21.88,6.24,15.34,1.53,0.2,0.51
Stockholms län,0180,Stockholm,01802312,Vantör 12 Högdalen C,1226,1243,1475,84.27,16.88,5.79,4,2.94,26.35,21.53,5.38,14.11,0.98,0.41,1.13
Stockholms län,0180,Stockholm,01802313,Vantör 13 Örby V,1088,1094,1246,87.8,27.48,9.38,7.08,4.87,20.77,8.73,5.79,14.43,0.74,0.09,0.55
Stockholms län,0180,Stockholm,01802314,Vantör 14 Örby S,1238,1241,1342,92.47,30.29,11.63,9.77,4.52,20.36,7.11,6.79,8.56,0.24,0.08,0.16
Stockholms län,0180,Stockholm,01802315,Vantör 15 Örby N,1148,1157,1275,90.75,26.83,10.71,8.36,5.92,17.51,7.84,8.62,12.98,0.09,0.26,0.61
Stockholms län,0180,Stockholm,01802316,Vantör 16 Snösätrahöjden,740,747,1074,69.55,7.16,2.57,1.62,2.3,42.16,28.24,3.24,9.59,1.22,0.81,0.8
Stockholms län,0180,Stockholm,01802317,Vantör 17 Gillerbacken mfl,722,725,1012,71.64,10.25,2.91,0.97,2.77,41.97,23.41,3.88,11.36,1.66,0.28,0.28
Stockholms län,0180,Stockholm,01802318,Vantör 18 Rågsveds N,752,755,1122,67.29,7.71,2.26,1.6,1.99,45.08,23.94,4.79,11.04,0.8,0.27,0.4
Stockholms län,0180,Stockholm,01802319,Vantör 19 Rågsved V,812,816,1088,75,13.3,5.3,2.34,4.68,34.73,20.32,4.06,12.56,1.11,0.49,0.49
Stockholms län,0180,Stockholm,01802320,Vantör 20 Rågsveds Ö,662,672,950,70.74,9.52,3.78,3.02,3.93,39.43,24.77,3.47,9.82,0.76,0.45,1.19
Stockholms län,0180,Stockholm,01802321,Vantör 21 Hagsätra Ö,764,772,993,77.74,17.93,4.84,4.45,3.66,30.1,16.88,4.84,15.58,0.26,0.13,0.91
Stockholms län,0180,Stockholm,01802322,Vantör 22 Hagsätra C,874,885,1165,75.97,13.16,4.12,3.09,4.46,32.95,19.22,5.95,12.93,2.06,0.8,1.02
Stockholms län,0180,Stockholm,01802323,Vantör 23 Hagsätra V,682,693,992,69.86,6.74,4.99,1.76,2.79,42.38,23.17,3.52,12.46,0.88,0.44,0.87
Stockholms län,0180,Stockholm,01802324,Vantör 24 Ormkärr N,703,711,844,84.24,20.34,5.97,4.13,4.69,30.87,11.95,5.41,14.22,1.28,0.43,1.13
Stockholms län,0180,Stockholm,01802325,Vantör 25 Hagsätra N,910,920,1198,76.79,10.55,4.95,4.62,3.41,36.59,16.59,3.96,16.92,1.1,0.44,0.76
Stockholms län,0180,Stockholm,01802326,Vantör 26 Rågsved C,659,666,993,67.07,7.44,3.49,2.73,1.82,50.38,19.73,2.88,10.17,0.61,0.15,0.75
Stockholms län,0180,Stockholm,01802327,Vantör 27 Bandhagen C,885,889,1108,80.23,12.54,6.33,3.95,4.75,26.78,24.18,5.88,13.11,1.58,0.45,0.45
Stockholms län,0180,Stockholm,01802328,Vantör 28 Rågsveds S,699,703,1052,66.83,10.59,2.72,3.15,3,36.19,23.32,4.01,14.31,0.57,0.57,0.43
Stockholms län,0180,Stockholm,01802329,Vantör 29 Högdalen S,942,949,1114,85.19,16.99,7.22,4.35,3.72,25.58,20.81,7.11,11.89,1.17,0.53,0.63
Stockholms län,0180,Stockholm,01802330,Vantör 30 Ormkärr S,707,713,1002,71.16,15.98,5.37,4.1,3.68,37.06,14.29,4.95,12.87,0.71,0.57,0.7
Stockholms län,0180,Stockholm,01802501,Farsta 1 Svedmyra N,1099,1106,1509,73.29,17.2,9.46,7.37,4,24.2,14.74,11.19,10.01,0.64,0.45,0.54
Stockholms län,0180,Stockholm,01802502,Farsta 2 Svedmyra S,1032,1040,1226,84.83,16.47,8.53,3.88,3.39,25.58,20.35,7.66,11.14,1.65,0.58,0.67
Stockholms län,0180,Stockholm,01802503,Farsta 3 Tallkrogen N,899,905,1035,87.44,14.79,8.12,5.12,4.12,28.36,14.91,5.9,16.57,1,0.22,0.66
Stockholms län,0180,Stockholm,01802504,Farsta 4 Olympiaområdet,1099,1102,1208,91.23,21.57,11.19,7.83,4.19,27.02,11.56,6.37,8.64,0.91,0.09,0.18
Stockholms län,0180,Stockholm,01802505,Farsta 5 Gubbängen Ö,1273,1284,1473,87.17,15.79,6.91,5.5,2.67,24.35,19.72,9.03,13.28,1.34,0.63,
Stockholms län,0180,Stockholm,01802506,Farsta 6 Gubbängen C,1407,1422,1617,87.94,14.29,7.68,5.33,3.55,25.02,22.96,8.1,10.23,1.28,0.57,1.05
Stockholms län,0180,Stockholm,01802507,Farsta 7 Gubbängen V,1026,1034,1226,84.34,18.42,4.68,4.68,3.31,28.07,18.62,8.09,11.5,0.78,0.49,0.68
Stockholms län,0180,Stockholm,01802508,Farsta 8 Skönstaholm,779,786,1011,77.74,9.63,3.34,3.21,3.47,30.81,22.72,9.76,13.86,1.54,0.77,0.64
Stockholms län,0180,Stockholm,01802509,Farsta 9 Lingvägen S,885,895,1121,79.84,11.41,4.18,5.88,3.05,35.03,19.1,5.42,13.45,1.36,0.23,1.01
Stockholms län,0180,Stockholm,01802510,Farsta 10 Kryddhyllan,884,897,1158,77.46,11.2,4.52,3.51,4.19,27.83,24.32,7.47,14.59,1.02,0.68,0.89
Stockholms län,0180,Stockholm,01802511,Farsta 11 Fagerlid,1140,1157,1450,79.79,10,3.16,3.16,2.72,28.51,26.05,9.3,13.25,1.75,0.61,1.12
Stockholms län,0180,Stockholm,01802512,Farsta 12 Hökarängen N,1206,1218,1504,80.98,8.37,3.07,3.73,3.15,31.59,22.55,6.3,18.57,0.91,0.33,0.9
Stockholms län,0180,Stockholm,01802513,Farsta 13 Fagersjö yttre,648,654,853,76.67,20.68,6.17,5.56,4.48,30.86,15.28,4.63,10.19,1.08,0.31,0.46
Stockholms län,0180,Stockholm,01802514,Farsta 14 Tallkrogen V,997,1000,1115,89.69,14.74,8.53,6.92,4.11,25.98,17.65,7.22,12.34,1,0.5,0.3
Stockholms län,0180,Stockholm,01802515,Farsta 15 Farsta Strand V,1197,1207,1385,87.15,16.79,5.01,5.93,4.93,32.92,11.95,7.1,13.03,0.58,0.58,0.83
Stockholms län,0180,Stockholm,01802516,Farsta 16 Farsta Strand C,993,1005,1350,74.44,11.48,4.43,3.63,2.92,40.18,15.01,5.04,14.7,1.01,0.4,1.19
Stockholms län,0180,Stockholm,01802517,Farsta 17 Farsta Strand Ö,867,877,1239,70.78,13.15,3.34,2.88,3.34,36.68,17.53,6.69,13.38,1.61,0.35,1.03
Stockholms län,0180,Stockholm,01802518,Farsta 18 Larsboda,701,709,837,84.71,21.26,9.7,6.56,4.28,25.68,9.84,7.13,12.41,1.14,0.57,0.99
Stockholms län,0180,Stockholm,01802519,Farsta 19 Hästhagen,687,696,937,74.28,13.97,3.93,3.06,2.47,39.01,14.26,4.08,16.74,1.16,0.29,1.29
Stockholms län,0180,Stockholm,01802520,Farsta 20 Östmarksg-Ekebergabacken,859,863,1169,73.82,10.13,2.91,2.68,4.07,36.32,19.79,5.12,16.76,0.93,0.35,0.35
Stockholms län,0180,Stockholm,01802521,Farsta 21 Farsta C,1038,1042,1299,80.22,15.9,5.11,3.66,4.24,36.9,12.72,3.56,16.67,0.48,0.1,0.19
Stockholms län,0180,Stockholm,01802522,Farsta 22 Farstaängen,737,742,1002,74.05,15.74,5.7,5.02,2.17,30.8,19.13,6.11,13.84,0.81,,0.67
Stockholms län,0180,Stockholm,01802523,Farsta 23 Nykroppagatan mfl,681,688,1000,68.8,14.24,3.38,3.38,3.23,38.47,16.89,5.58,13.07,0.59,0.15,0.87
Stockholms län,0180,Stockholm,01802524,Farsta 24 Värmlandsvägen mfl,1208,1219,1417,86.03,19.87,7.12,5.38,4.14,26.99,13.16,11.09,9.85,1.08,0.33,0.82
Stockholms län,0180,Stockholm,01802525,Farsta 25 Sköndal V,1216,1231,1368,89.99,20.64,7.4,6.17,4.44,25.49,11.92,8.96,13.08,0.49,0.49,1.06
Stockholms län,0180,Stockholm,01802526,Farsta 26 Norra Sköndal,1136,1141,1227,92.99,23.15,9.24,9.24,7.31,22.71,9.6,7.57,9.33,0.26,0.88,0.35
Stockholms län,0180,Stockholm,01802527,Farsta 27 Dalbrobranten mfl,1149,1157,1415,81.77,19.93,9.14,9.4,5.4,25.07,10.27,6.35,13.58,0.52,,0.61
Stockholms län,0180,Stockholm,01802528,Farsta 28 Stora Sköndal,1238,1249,1461,85.49,20.44,10.42,9.29,5.41,26.9,8.89,8.97,8.48,0.65,0.24,0.8
Stockholms län,0180,Stockholm,01802529,Farsta 29 Sköndal C,1110,1120,1341,83.52,17.48,5.14,4.68,5.05,26.58,12.25,6.67,19.46,0.54,1.17,0.71
Stockholms län,0180,Stockholm,01802530,Farsta 30 Torsbygatan mfl,899,913,1150,79.39,15.35,4.89,3.78,4.34,33.26,16.8,4.89,15.24,0.56,0.11,1.42
Stockholms län,0180,Stockholm,01802531,Farsta 31 Fagersjö inre,697,701,974,71.97,11.76,3.59,1.87,2.58,40.75,19.23,2.58,14.63,0.43,1.29,0.57
Stockholms län,0180,Stockholm,01802532,Farsta 32 Västboda,887,895,1184,75.59,15.22,5.07,4.4,3.61,38.22,15.11,5.75,10.71,1.01,0.34,0.78
Stockholms län,0180,Stockholm,01802533,Farsta 33 Ågesta Broväg mfl,678,683,816,83.7,16.08,9.44,3.83,5.6,31.27,14.01,7.96,10.32,0.29,0.29,0.44
Stockholms län,0180,Stockholm,01802534,Farsta 34 Kristinehamnsgatan S mfl,927,940,1165,80.69,17.26,4.96,4.96,4.31,32.47,15.53,4.31,13.16,0.86,0.43,1.17
Stockholms län,0180,Stockholm,01802535,Farsta 35 Russinvägen mfl,639,645,824,78.28,8.29,4.69,3.13,3.44,28.64,26.6,5.16,18.15,0.78,,0.62
Stockholms län,0180,Stockholm,01802701,Bromma 1 Abrahamsberg S,1171,1180,1561,75.59,20.84,9.48,7.43,5.55,20.32,11.02,9.82,13.07,1.02,0.43,0.42
Stockholms län,0180,Stockholm,01802702,Bromma 2 Abrahamsberg N,1059,1065,1236,86.17,21.81,11.61,8.59,4.82,20.87,10.67,8.12,11.24,0.57,0.76,0.47
Stockholms län,0180,Stockholm,01802703,Bromma 3 Åkeslund Ö,1193,1197,1416,84.53,20.03,8.63,8.89,4.44,21.96,11.65,10.98,11.23,0.75,0.34,0.25
Stockholms län,0180,Stockholm,01802704,Bromma 4 Riksby N,747,749,878,85.31,23.69,8.7,7.1,6.16,19.14,13.92,8.97,10.71,0.13,0.4,0.27
Stockholms län,0180,Stockholm,01802705,Bromma 5 Åkeshov,548,551,696,79.17,22.81,11.5,9.12,4.2,18.43,11.13,8.94,10.95,1.09,0.36,0.36
Stockholms län,0180,Stockholm,01802706,Bromma 6 Riksby V-Brommaplan,1206,1217,1411,86.25,24.88,11.28,6.47,5.8,19.9,10.36,6.88,11.94,1.08,0.5,0.74
Stockholms län,0180,Stockholm,01802707,Bromma 7 Riksby Ö,1228,1237,1425,86.81,25.41,12.21,9.04,5.29,19.87,9.61,6.92,9.36,0.81,0.24,0.73
Stockholms län,0180,Stockholm,01802708,Bromma 8 Kyrksjön,950,953,1029,92.61,39.05,11.79,14.53,7.47,8.42,3.05,7.37,7.58,0.11,0.32,0.21
Stockholms län,0180,Stockholm,01802709,Bromma 9 Bromma kyrka,749,750,812,92.36,34.45,15.75,18.02,6.41,9.08,3.74,5.21,6.28,0.13,0.4,0.13
